country,year,gdp,pop,unemp
MX,2008,1049.3482479899,114.972821,3.5
MY,2005,204.861809506069,25.796124,3.5
MY,2006,216.303028282264,26.263048,3.29999995231628
MY,2007,236.695353388594,26.730607,3.20000004768372
MY,2008,244.55267874328698,27.197419,3.29999995231628
MZ,2005,7.09568768410245,21.126676,22.6000003814697
MZ,2006,7.79468781346585,21.73786,22.6000003814697
MZ,2007,8.37352608451733,22.359637,22.6000003814697
MZ,2008,8.949306941236669,22.994867,22.6000003814697
NC,2005,NA,0.231,NA
NC,2006,NA,0.235,NA
NC,2007,NA,0.238,NA
NC,2008,NA,0.242,NA
